mysql> select * from weightsensor_sensordaily where tagid="5a-c2-15-0b-00-01";
+-------+-------------------+---------------------+---------------+----------+---------+----------------------------+
| id    | tagid             | reading             | distancelader | dcstatus | battery | timestamp                  |
| 16987 | 5a-c2-15-0b-00-01 |   5.829999999999984 |          1000 |        0 |     100 | 2023-02-07 13:42:01.568430 |
| 16988 | 5a-c2-15-0b-00-01 |   6.525999999999982 |          1000 |        0 |     100 | 2023-02-07 13:42:06.684327 |
| 16989 | 5a-c2-15-0b-00-01 |   6.853999999999985 |          1000 |        0 |     100 | 2023-02-07 13:43:39.298920 |
| 16990 | 5a-c2-15-0b-00-01 |   7.300999999999988 |          1000 |        0 |     100 | 2023-02-07 13:46:55.353175 |
| 16991 | 5a-c2-15-0b-00-01 |   7.951999999999998 |          1000 |        0 |     100 | 2023-02-07 13:47:55.538291 |
| 16992 | 5a-c2-15-0b-00-01 |   8.667000000000002 |          1000 |        0 |     100 | 2023-02-07 13:48:21.983674 |
| 16993 | 5a-c2-15-0b-00-01 |    8.95399999999998 |          1000 |        0 |     100 | 2023-02-07 13:49:26.981694 |
| 16994 | 5a-c2-15-0b-00-01 |   9.259999999999991 |          1000 |        0 |     100 | 2023-02-07 13:52:04.289825 |
| 16995 | 5a-c2-15-0b-00-01 |  10.037999999999982 |          1000 |        0 |     100 | 2023-02-07 13:54:30.838434 |
| 16996 | 5a-c2-15-0b-00-01 |  10.477000000000004 |          1000 |        0 |     100 | 2023-02-07 13:55:13.986354 |
| 16997 | 5a-c2-15-0b-00-01 |  10.769000000000005 |          1000 |        0 |     100 | 2023-02-07 13:57:08.963134 |
| 16998 | 5a-c2-15-0b-00-01 |  13.161000000000001 |          1000 |        0 |     100 | 2023-02-07 14:00:01.420326 |
| 16999 | 5a-c2-15-0b-00-01 |  13.590000000000003 |          1000 |        0 |     100 | 2023-02-07 14:00:44.578118 |
| 17000 | 5a-c2-15-0b-00-01 |  13.852000000000004 |          1000 |        0 |     100 | 2023-02-07 14:04:04.054146 |
| 17001 | 5a-c2-15-0b-00-01 |   14.10499999999999 |          1000 |        0 |     100 | 2023-02-07 14:05:58.337665 |
| 17002 | 5a-c2-15-0b-00-01 |  15.210999999999984 |          1000 |        0 |     100 | 2023-02-07 14:09:43.719723 |
| 17003 | 5a-c2-15-0b-00-01 |  16.426999999999992 |          1000 |        0 |     100 | 2023-02-07 14:15:36.843789 |
| 17004 | 5a-c2-15-0b-00-01 |  16.995000000000005 |          1000 |        0 |     100 | 2023-02-07 14:18:09.885135 |
| 17005 | 5a-c2-15-0b-00-01 |  17.258999999999986 |          1000 |        0 |     100 | 2023-02-07 14:19:14.403669 |
| 17006 | 5a-c2-15-0b-00-01 |   17.56899999999999 |          1000 |        0 |     100 | 2023-02-07 14:20:19.210403 |
| 17007 | 5a-c2-15-0b-00-01 |  18.283999999999992 |          1000 |        0 |     100 | 2023-02-07 14:22:33.044474 |
| 17008 | 5a-c2-15-0b-00-01 |   18.94799999999998 |          1000 |        0 |     100 | 2023-02-07 14:23:54.641480 |
| 17009 | 5a-c2-15-0b-00-01 |   19.37099999999998 |          1000 |        0 |     100 | 2023-02-07 14:24:37.852685 |
| 17010 | 5a-c2-15-0b-00-01 |              19.631 |          1000 |        0 |     100 | 2023-02-07 14:27:11.391663 |
| 17013 | 5a-c2-15-0b-00-01 |  20.111999999999995 |          1000 |        0 |     100 | 2023-02-07 14:30:06.947907 |
| 17014 | 5a-c2-15-0b-00-01 |  21.627999999999986 |          1000 |        0 |     100 | 2023-02-07 14:33:15.578303 |
| 17015 | 5a-c2-15-0b-00-01 |  22.195999999999998 |          1000 |        0 |     100 | 2023-02-07 14:33:41.469356 |
| 17016 | 5a-c2-15-0b-00-01 |              23.768 |          1000 |        0 |     100 | 2023-02-07 14:34:43.303375 |
